,cartoon_genre,cartoon_names,cartoon_ratings,cartoon_stars
54,"<span class=""genre"">
Animation, Action, Adventure            </span>","<a href=""/title/tt0096557/"">Chip 'n Dale: Rescue Rangers</a>","<span class=""ipl-rating-star__rating"">7.6</span>","<a href=""/name/nm0534134/"">Tress MacNeille</a>"
55,"<span class=""genre"">
Animation, Comedy, Family            </span>","<a href=""/title/tt0081848/"">Danger Mouse</a>","<span class=""ipl-rating-star__rating"">7.4</span>","<a href=""/name/nm0419248/"">David Jason</a>"
56,"<span class=""genre"">
Animation, Adventure, Family            </span>","<a href=""/title/tt0088515/"">Ewoks</a>","<span class=""ipl-rating-star__rating"">5.9</span>","<a href=""/name/nm0378130/"">Jim Henshaw</a>"
57,"<span class=""genre"">
Animation, Action, Adventure            </span>","<a href=""/title/tt0126171/"">She-Ra: Princess of Power</a>","<span class=""ipl-rating-star__rating"">6.7</span>","<a href=""/name/nm0110068/"">Melendy Britt</a>"
58,"<span class=""genre"">
Animation, Action, Adventure            </span>","<a href=""/title/tt0122811/"">The Adventures of Teddy Ruxpin</a>","<span class=""ipl-rating-star__rating"">7.3</span>","<a href=""/name/nm0056295/"">Phil Baron</a>"
59,"<span class=""genre"">
Animation, Short, Action            </span>","<a href=""/title/tt0213334/"">Bonkers</a>","<span class=""ipl-rating-star__rating"">6.7</span>","<a href=""/name/nm0191906/"">Jim Cummings</a>"
60,"<span class=""genre"">
Animation, Short, Adventure            </span>","<a href=""/title/tt0112123/"">Pinky and the Brain</a>","<span class=""ipl-rating-star__rating"">7.8</span>","<a href=""/name/nm0005606/"">Maurice LaMarche</a>"
61,"<span class=""genre"">
Animation, Adventure, Comedy            </span>","<a href=""/title/tt0154061/"">CatDog</a>","<span class=""ipl-rating-star__rating"">6.5</span>","<a href=""/name/nm0191906/"">Jim Cummings</a>"
62,"<span class=""genre"">
Animation, Adventure, Comedy            </span>","<a href=""/title/tt0126170/"">Recess</a>","<span class=""ipl-rating-star__rating"">7.9</span>","<a href=""/name/nm0492620/"">Andrew Lawrence</a>"
63,"<span class=""genre"">
Animation, Adventure, Comedy            </span>","<a href=""/title/tt0103408/"">Eek! the Cat</a>","<span class=""ipl-rating-star__rating"">7.2</span>","<a href=""/name/nm0465827/"">Bill Kopp</a>"
